objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,image_alt_text
woo001,https://wooarchitects.com/wp-content/uploads/2026/03/WOOarchitects-Expo-2025_UK-Pavilion_%C2%A9HuftonCrow_08-1536x1025.webp,,,"UK Pavilion, Expo 2025 Osaka","Woo Architects; Emma Owens, lead",2025,"Perforated aluminum panels on the exterior of the pavilion reference textile punch cards, whose ""programmable"" codes helped fuel the Industrial Revolution in the UK and later in Japan.",world expositions;women architects;national pavilions,"Osaka, Japan",34.65495667,135.379715,Woo Architects website,,Image;photograph,image/webp,,Woo Architects,,"Building made up of two blocks conjoined at an angle, covered with a white gridded surface grill, lit from behind to show the UK flag with topiary landscape elements behind a broad walkway"
nagayama001,https://www.yukonagayama.co.jp/wp-content/uploads/2023/11/250226_PP_001_ONP2843-2048x1365.jpg,,,"Panasonic Group Pavilion, Expo 2025 Osaka","Yuko Nagayama Associates; Yuko Nagayama, lead",2025,"The pavilion is named ""The Land of NOMO,"" a fantasy land for children to explore, where technology of sound and vision create multisensory interactive experiences.",world expositions;women architects;corporate pavilions,"Osaka, Japan",34.65495667,135.379715,Yuko Nagayama Associats website,,Image;photograph,image/jpeg,,Yuko Nagayama Associates,,Silver metallic cubic building covered by a curving assortment of circular frames containing curving pink and clear glass.
bruckner001,,,1094038312,"Uzbekistan Pavilion, Expo 2025 Osaka","Atelier Bruckner; Shirin Frangoul-Bruckner, lead",2025,"The pavilion includes colored tile against a tan brick and wood frame exterior to highlight the extensive history of ceramics production in Uzbekistan, seen more fully in a 360 degree projection of an architectural tiled facade on the interior.",world expositions;women architects;national pavilions,"Osaka, Japan",34.65495667,135.379715,Atelier Bruckner website,,Video,video/mp4,,Atelier Bruckner,,
ghotmeh001,https://www.linaghotmeh.com/en/assets/galleries//746/_thumbs/lg_4230_Bahrain_Pavilion_Expo_Osaka_Lina_Ghotmeh_IWAN_BAAN_2_834x1112.jpg,,,"Bahrain Pavilion, Expo 2025 Osaka",Lina Ghotmeh,2025,"Evoking the form of a Bahraini dhow created with Japanese skilled carpentry, the pavilion emphasizes global connectedness",world expositions;women architects;national pavilions,"Osaka, Japan",34.65495667,135.379715,Lina Ghotmeh website,,Image;photograph,image/jpeg,,Lina Ghotmeh,,"Building with an exterior skeletal wooden frame and shoji screen like white walls and roof, resembling the shape of a boat, but situated on land across from a small geometric metallic building."
wxca001,https://cdn.prod.website-files.com/664c72692c0ee5a4d4b0c3c0/688cb7ffb2ea169b59b3b014_FRONT-2.jpg,,,"Poland Pavilion, Expo 2020 Dubai","WXCA; Marta Sękulska-Wrońska, lead",2021,"The metallic superstructure over the wood-paneled pavilion represents white storks, as 25% of the world's population of them nests in Poland.",world expositions;women architects;national pavilions,"Dubai, United Arab Emirates",24.96109721,55.15068757,WXCA website,,Image;photograph,image/jpeg,,WXCA,,Cubic wood-paneled building with projecting upper stories. Attached to the exterior is a deep grid of metal with flashing white elements appearing as birds flying through the sky.
nagayama002,https://www.yukonagayama.co.jp/wp-content/uploads/2021/03/01-2-wpcf_2048x1365.jpg,,,"Japan Pavilion, Expo 2020 Dubai","Yuko Nagayama Associates; Yuko Nagayama, lead",2021,"The white pavilion sits at the end of a path in a pool of water. A white metal grid superstructure is covered in triangular shapes of white cloth in irregular patterns, occupying different quarters of the grid and turned in different directions, resembling many sails blowing in the breeze.",world expositions;women architects;national pavilions,"Dubai, United Arab Emirates",24.96109721,55.15068757,Yuko Nagayama Associats website,,Image;photograph,image/jpeg,,Yuko Nagayama Associates,,"Cubic white building with a metal grid superstructure filled in places with triangular white cloth resembling sails, sitting at the end of a long pier-like path amidst smooth water."
xtu001,https://images.squarespace-cdn.com/content/v1/5a57f9a7d0e6283ac5d5daf1/1518511152918-K679C3XQVRQ5NVAGTTAS/XTU_ARCHI+MILAN15.jpg?format=1500w,,,"France Pavilion, Expo 2015 Milan",XTU; Anouk Legendre; Nicolas Desmazières,2015,"Applying parametric design to wood frame construction, XTU won the award for best pavilion, architecture section, Bureau International des Expositions 2015.",world expositions;women architects;national pavilions,"Milan, Italy",45.51966916,9.105648991,XTU website,,Image;digital illustration,image/jpeg,,XTU,,Computer generated illustration of crowds visiting a skeletal wood framed cubic building that appears to have had each of its corners scooped out into arching overhangs. There are plants growing on one facade of the building
coll008,,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,,
